Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone
2,0,0.6432880255174226,0,0,-0.3209942999308318,0,-0.8250286473253902,1
1,0,1.169136547738749,0,0,1.5937586651035045,1,-0.8250286473253902,1
2,1,0.0005842761358013576,0,0,-0.48642502206541194,0,-0.8250286473253902,1
3,0,-0.17469856460464078,2,0,1.109479144371097,1,0.9210637279664409,0
3,0,1.2275641613188963,2,0,0.3013031421825483,0,0.9210637279664409,0
3,1,0.0005842761358013576,0,0,0.6545055678177435,0,-0.8250286473253902,1
1,1,-1.576961290528178,0,0,1.521027956542539,0,-0.8250286473253902,1
2,0,1.636557456379928,0,0,0.10046308220904945,0,-0.8250286473253902,1
3,1,0.0005842761358013576,0,0,-1.2499390003938888,2,-0.8250286473253902,1
3,1,0.7601432526777173,1,1,0.7227007077064369,2,0.9210637279664409,0
3,0,0.0005842761358013576,2,0,1.6448452034040326,2,0.9210637279664409,0
3,1,-0.7589747004061146,1,0,-1.2583343149191495,2,0.0480175403205253,0
1,1,0.5848604119372751,0,0,-1.069519493588771,1,-0.8250286473253902,1
1,1,1.1107089341586016,0,0,-0.7901643533464016,2,-0.8250286473253902,1
3,0,-1.1679679954671462,0,0,-0.774964636398417,0,-0.8250286473253902,1
3,1,1.5781298427997805,0,0,-0.9469269132336499,1,-0.8250286473253902,1
2,1,-0.34998140534508293,0,0,1.3273312598157214,2,-0.8250286473253902,1
3,0,-0.525264246085525,0,0,-1.2512507682884608,2,-0.8250286473253902,1
3,1,-1.9275269720090622,4,1,-1.028774933369049,1,3.5402022909041873,0
3,1,1.928695524280665,0,0,1.2476219460556326,0,-0.8250286473253902,1
3,1,0.9938537069983068,1,0,0.2674018127152294,0,0.0480175403205253,0
3,0,0.0005842761358013576,0,0,-1.258596668498064,0,-0.8250286473253902,1
3,0,-1.2263956090472936,0,0,-1.2519937536239463,2,-0.8250286473253902,1
3,0,-1.4016784497877357,1,0,1.3567085641682401,1,0.0480175403205253,0
3,1,-1.6353889041083254,0,0,1.0249372776874048,0,-0.8250286473253902,1
3,0,1.4028470020593384,0,1,1.0456548151071174,2,0.0480175403205253,0
2,0,0.0005842761358013576,1,0,1.662656912583689,0,0.0480175403205253,0
3,0,-1.75224413126862,0,1,-0.3082722501821147,0,0.0480175403205253,0
3,1,0.0005842761358013576,0,0,1.8018186955687279,1,-0.8250286473253902,1
3,1,-1.1095403818869989,1,0,-0.3522164746502768,0,0.0480175403205253,0
3,0,0.409577571196833,1,0,0.6597757265109758,2,0.0480175403205253,0
3,0,0.0005842761358013576,0,1,0.4858730826060917,0,0.0480175403205253,0
3,0,-1.1095403818869989,2,0,1.19905715035563,1,0.9210637279664409,0
1,1,1.0522813205784542,0,0,0.5563580445315502,0,-0.8250286473253902,1
3,0,-1.0511127683068515,1,0,-0.36835121975351254,1,0.0480175403205253,0
2,0,0.0005842761358013576,2,0,0.834162150415378,2,0.9210637279664409,0
2,1,0.5264327983571278,0,0,0.06398753942542228,0,-0.8250286473253902,1
2,0,0.0005842761358013576,0,0,0.47391395706485767,1,-0.8250286473253902,1
1,0,-0.8758299275664093,0,1,1.2917088908707242,1,0.0480175403205253,0
1,1,-0.34998140534508293,0,0,1.5613716404936802,0,-0.8250286473253902,1
1,0,0.8185708662578647,2,0,1.512933823925872,1,0.9210637279664409,0
